Week,bir pletok: (Indonesia)
01/03/2016,60
01/10/2016,27
01/17/2016,41
01/24/2016,28
01/31/2016,17
02/07/2016,45
02/14/2016,38
02/21/2016,21
02/28/2016,24
03/06/2016,32
03/13/2016,22
03/20/2016,17
03/27/2016,24
04/03/2016,16
04/10/2016,16
04/17/2016,16
04/24/2016,16
05/01/2016,100
05/08/2016,32
05/15/2016,39
05/22/2016,40
05/29/2016,33
06/05/2016,33
06/12/2016,24
06/19/2016,48
06/26/2016,17
07/03/2016,20
07/10/2016,16
07/17/2016,16
07/24/2016,36
07/31/2016,26
08/07/2016,31
08/14/2016,33
08/21/2016,48
08/28/2016,20
09/04/2016,41
09/11/2016,15
09/18/2016,29
09/25/2016,0
10/02/2016,29
10/09/2016,22
10/16/2016,29
10/23/2016,29
10/30/2016,34
11/06/2016,44
11/13/2016,34
11/20/2016,24
11/27/2016,14
12/04/2016,18
12/11/2016,29
12/18/2016,14
12/25/2016,15
01/01/2017,37
01/08/2017,24
01/15/2017,19
01/22/2017,28
01/29/2017,56
02/05/2017,21
02/12/2017,28
02/19/2017,23
02/26/2017,21
03/05/2017,0
03/12/2017,14
03/19/2017,23
03/26/2017,23
04/02/2017,14
04/09/2017,14
04/16/2017,22
04/23/2017,20
04/30/2017,0
05/07/2017,18
05/14/2017,36
05/21/2017,15
05/28/2017,15
06/04/2017,0
06/11/2017,15
06/18/2017,23
06/25/2017,23
07/02/2017,15
07/09/2017,19
07/16/2017,39
07/23/2017,38
07/30/2017,42
08/06/2017,14
08/13/2017,22
08/20/2017,28
08/27/2017,43
09/03/2017,21
09/10/2017,27
09/17/2017,21
09/24/2017,33
10/01/2017,32
10/08/2017,27
10/15/2017,27
10/22/2017,45
10/29/2017,18
11/05/2017,27
11/12/2017,27
11/19/2017,20
11/26/2017,20
12/03/2017,22
12/10/2017,27
12/17/2017,21
12/24/2017,29
12/31/2017,23
01/07/2018,53
01/14/2018,33
01/21/2018,27
01/28/2018,36
02/04/2018,32
02/11/2018,27
02/18/2018,40
02/25/2018,35
03/04/2018,20
03/11/2018,26
03/18/2018,26
03/25/2018,13
04/01/2018,26
04/08/2018,39
04/15/2018,34
04/22/2018,19
04/29/2018,36
05/06/2018,22
05/13/2018,23
05/20/2018,20
05/27/2018,14
06/03/2018,14
06/10/2018,15
06/17/2018,27
06/24/2018,32
07/01/2018,24
07/08/2018,12
07/15/2018,17
07/22/2018,13
07/29/2018,49
08/05/2018,25
08/12/2018,49
08/19/2018,37
08/26/2018,31
09/02/2018,36
09/09/2018,40
09/16/2018,32
09/23/2018,26
09/30/2018,30
10/07/2018,19
10/14/2018,26
10/21/2018,41
10/28/2018,29
11/04/2018,30
11/11/2018,40
11/18/2018,32
11/25/2018,26
12/02/2018,33
12/09/2018,27
12/16/2018,14
12/23/2018,15
12/30/2018,22
01/06/2019,49
01/13/2019,18
01/20/2019,22
01/27/2019,20
02/03/2019,26
02/10/2019,25
02/17/2019,45
02/24/2019,13
03/03/2019,33
03/10/2019,26
03/17/2019,21
03/24/2019,30
03/31/2019,58
04/07/2019,26
04/14/2019,27
04/21/2019,13
04/28/2019,27
05/05/2019,27
05/12/2019,13
05/19/2019,13
05/26/2019,27
06/02/2019,16
06/09/2019,26
06/16/2019,21
06/23/2019,25
06/30/2019,13
07/07/2019,30
07/14/2019,26
07/21/2019,42
07/28/2019,41
08/04/2019,25
08/11/2019,38
08/18/2019,46
08/25/2019,53
09/01/2019,61
09/08/2019,40
09/15/2019,24
09/22/2019,67
09/29/2019,40
10/06/2019,47
10/13/2019,52
10/20/2019,55
10/27/2019,59
11/03/2019,40
11/10/2019,62
11/17/2019,42
11/24/2019,46
12/01/2019,42
12/08/2019,32
12/15/2019,30
12/22/2019,17
12/29/2019,47
01/05/2020,75
01/12/2020,67
01/19/2020,51
01/26/2020,34
